KITTEN,k,ɪ,t,ə,n
LIGHTSTONE,l,aɪ,t,s,t,oʊ,n
FEATHERBED,f,ɛ,ð,ɚ,b,ɛ,d
DROWSY,d,ɹ,aʊ,z,i
DRUID,d,ɹ,u,ɪ,d
